"player","statCategory","dkLine","probabilityOver","probabilityUnder","moreDraftableId","lessDraftableId","summaryMore","summaryLess","maxProb","etrLine","diff","percentageDiff","etrPoints","etrAssists","etrRebounds","etrThreePtMade","etrTurnovers","etrSteals","etrBlocks","etrMinutes","etrPosition","etrTeam","etrOpponent"
"Caleb Martin","Points",8.5,"0.574","0.426",50573296,50573297,"50573296: Caleb Martin / OVER 8.5 Points / 57.4%","50573297: Caleb Martin / UNDER 8.5 Points / 42.6%",0.5739000000000001,9.9,1.4000000000000004,0.16470588235294123,9.9,2.5,4.6,1.34,1.13,0.98,0.54,28,"PF/SF","PHI","MIL"
"Ochai Agbaji","Points",9.5,"0.370","0.630",50571828,50571829,"50571828: Ochai Agbaji / OVER 9.5 Points / 37.0%","50571829: Ochai Agbaji / UNDER 9.5 Points / 63.0%",0.6303,8.4,-1.0999999999999996,-0.11578947368421048,8.4,1.4,3.4,1.2,1.18,0.62,0.59,28,"SG","TOR","CLE"
"Ochai Agbaji","Assists",1.5,"0.405","0.595",50570482,50570483,"50570482: Ochai Agbaji / OVER 1.5 Assists / 40.5%","50570483: Ochai Agbaji / UNDER 1.5 Assists / 59.5%",0.5945,1.4,-0.10000000000000009,-0.06666666666666672,8.4,1.4,3.4,1.2,1.18,0.62,0.59,28,"SG","TOR","CLE"
"Ochai Agbaji","Assists + Rebounds",5.5,"0.350","0.650",50570504,50570505,"50570504: Ochai Agbaji / OVER 5.5 Assists + Rebounds / 35.0%","50570505: Ochai Agbaji / UNDER 5.5 Assists + Rebounds / 65.0%",0.6503,4.8,-0.7000000000000002,-0.12727272727272732,8.4,1.4,3.4,1.2,1.18,0.62,0.59,28,"SG","TOR","CLE"
"Ochai Agbaji","Points + Rebounds",12.5,"0.417","0.583",50570506,50570507,"50570506: Ochai Agbaji / OVER 12.5 Points + Rebounds / 41.7%","50570507: Ochai Agbaji / UNDER 12.5 Points + Rebounds / 58.3%",0.583,11.8,-0.6999999999999993,-0.055999999999999946,8.4,1.4,3.4,1.2,1.18,0.62,0.59,28,"SG","TOR","CLE"
"Ochai Agbaji","Points + Assists",10.5,"0.407","0.593",50570518,50570519,"50570518: Ochai Agbaji / OVER 10.5 Points + Assists / 40.7%","50570519: Ochai Agbaji / UNDER 10.5 Points + Assists / 59.3%",0.5929,9.8,-0.6999999999999993,-0.0666666666666666,8.4,1.4,3.4,1.2,1.18,0.62,0.59,28,"SG","TOR","CLE"
"Ochai Agbaji","Points + Assists + Rebounds",14.5,"0.375","0.625",50570520,50570521,"50570520: Ochai Agbaji / OVER 14.5 Points + Assists + Rebounds / 37.5%","50570521: Ochai Agbaji / UNDER 14.5 Points + Assists + Rebounds / 62.5%",0.6245,13.200000000000001,-1.299999999999999,-0.08965517241379303,8.4,1.4,3.4,1.2,1.18,0.62,0.59,28,"SG","TOR","CLE"
"Ochai Agbaji","Rebounds",3.5,"0.430","0.570",50573142,50573143,"50573142: Ochai Agbaji / OVER 3.5 Rebounds / 43.0%","50573143: Ochai Agbaji / UNDER 3.5 Rebounds / 57.0%",0.5695,3.4,-0.10000000000000009,-0.0285714285714286,8.4,1.4,3.4,1.2,1.18,0.62,0.59,28,"SG","TOR","CLE"
"Gary Harris","Points",6.5,"0.321","0.679",50573340,50573341,"50573340: Gary Harris / OVER 6.5 Points / 32.1%","50573341: Gary Harris / UNDER 6.5 Points / 67.9%",0.6789,5.2,-1.2999999999999998,-0.19999999999999998,5.2,1.1,1.5,1.19,0.54,0.75,0.22,19,"SG","ORL","MIA"
"Gary Harris","Steals",0.5,"0.513","0.487",50570422,50570423,"50570422: Gary Harris / OVER 0.5 Steals / 51.3%","50570423: Gary Harris / UNDER 0.5 Steals / 48.7%",0.5127999999999999,0.75,0.25,0.5,5.2,1.1,1.5,1.19,0.54,0.75,0.22,19,"SG","ORL","MIA"
